Peer_IP,Validated_Time
209.124.130.101,1590838320.987
178.63.71.183,1590838821.024
50.67.175.2,1590839216.143
66.70.180.144,1590839230.677
118.24.175.14,1590839308.154
47.93.198.249,1590839655.001
178.63.71.183,1590840780.067
13.244.102.241,1590840970.201
159.69.57.170,1590841164.983
45.76.39.141,1590841318.110
13.244.102.241,1590842169.075
46.4.65.10,1590842889.179
204.228.147.42,1590842984.391
188.72.203.154,1590843603.426
163.172.222.30,1590844958.014
45.195.146.197,1590845005.030
54.144.143.243,1590845016.037
212.158.160.111,1590846965.912
3.19.66.87,1590847449.937
3.10.116.190,1590847477.338
178.63.71.183,1590848269.007
37.235.48.220,1590848479.962
142.4.209.60,1590848627.791
50.67.175.2,1590849736.534
188.72.203.159,1590851885.451
134.122.96.128,1590852442.718
37.235.48.220,1590852507.677
188.72.203.154,1590852799.360
51.68.5.144,1590853591.350
188.72.203.154,1590853917.119
13.244.102.241,1590854339.613
173.249.28.21,1590855417.441
188.72.203.159,1590857055.733
188.72.203.159,1590858164.378
134.122.96.128,1590858649.315
188.72.203.154,1590859100.582
188.72.203.159,1590859149.690
163.172.222.30,1590859247.714
188.72.203.159,1590860127.761
104.248.161.166,1590860422.032
178.63.71.183,1590860422.032
54.149.118.3,1590860852.057
134.122.96.128,1590861151.766
178.63.71.183,1590861308.242
116.202.100.25,1590861897.916
116.202.100.25,1590861992.021
188.72.203.159,1590862068.998
13.244.102.241,1590862083.746
178.73.210.248,1590864322.433
188.72.203.154,1590864716.642
213.133.102.169,1590864968.123
13.244.102.241,1590864970.861
188.72.203.154,1590865737.713
64.137.174.58,1590865945.487
18.219.32.5,1590865994.201
178.63.71.183,1590866257.058
163.172.222.30,1590866550.063
193.70.38.148,1590867043.138
118.24.175.14,1590867381.969
163.172.222.30,1590867718.057
178.63.71.183,1590867772.045
188.72.203.154,1590869047.658
188.72.203.159,1590869886.586
178.63.71.183,1590871726.041
159.69.57.170,1590872605.207
134.122.96.128,1590872856.103
34.222.139.192,1590874811.184
178.73.210.248,1590875392.676
64.227.44.6,1590875446.353
109.233.109.26,1590875754.758
64.227.44.6,1590876114.680
193.70.38.148,1590876890.185
167.172.43.123,1590877042.031
188.72.203.154,1590877201.906
50.67.175.2,1590877547.710
64.227.44.6,1590877802.738
46.4.65.10,1590877945.336
64.227.44.6,1590878699.070
173.249.28.21,1590878723.747
107.191.35.66,1590878749.604
66.70.180.144,1590878778.983
192.241.131.177,1590878900.709
64.227.44.6,1590879309.887
195.177.251.17,1590879351.486
34.222.139.192,1590879564.832
3.19.66.87,1590879769.346
212.158.160.111,1590880452.877
212.158.160.111,1590880759.136
66.70.180.144,1590880895.631
176.74.154.45,1590880934.660
173.255.198.125,1590881215.306
64.227.44.6,1590881473.738
212.158.160.111,1590881515.032
212.158.160.111,1590882380.452
13.244.102.241,1590882587.895
118.24.175.14,1590882987.117
188.72.203.159,1590883274.874
212.158.160.111,1590883301.956
64.227.44.6,1590883311.564
64.227.44.6,1590883620.061
212.158.160.111,1590884140.812
188.72.203.154,1590884483.147
64.227.44.6,1590885349.055
134.122.96.128,1590885396.177
178.63.71.183,1590885539.510
212.158.160.111,1590886133.502
64.227.44.6,1590886759.795
178.63.71.183,1590886897.898
178.63.71.183,1590888070.098
64.227.44.6,1590888082.617
61.160.196.169,1590888153.187
163.172.222.30,1590888779.023
180.97.220.27,1590889542.012
178.63.71.183,1590889848.010
163.172.222.30,1590890875.267
39.107.245.90,1590891473.916
88.90.193.26,1590892194.076
54.144.143.243,1590892340.817
46.4.65.10,1590892416.366
34.222.139.192,1590894158.831
173.249.28.21,1590894501.704
118.24.175.14,1590896346.048
54.36.124.100,1590897266.412
118.24.175.14,1590897319.843
47.93.198.249,1590897905.625
47.93.198.249,1590898240.077
212.158.160.111,1590898392.253
47.93.198.249,1590898913.083
134.122.96.128,1590899092.098
50.228.184.13,1590899405.039
3.15.223.4,1590899598.235
159.69.57.170,1590899604.766
64.227.44.6,1590899750.189
47.93.198.249,1590899920.015
54.144.143.243,1590900552.899
64.227.44.6,1590900565.497
180.97.220.27,1590900706.017
54.149.118.3,1590901821.249
18.191.160.176,1590901922.973
188.72.203.154,1590902440.044
212.158.160.111,1590904077.244
188.72.203.159,1590904531.811
66.70.180.144,1590904592.128
142.4.209.60,1590904679.184
212.158.160.111,1590905061.551
188.72.203.154,1590905991.412
178.73.210.248,1590907425.849
192.241.131.177,1590908586.188
188.72.203.159,1590910171.559
178.63.71.183,1590912852.162
188.72.203.159,1590913383.812
212.158.160.111,1590913715.281
13.244.102.241,1590913839.315
66.70.180.144,1590914157.421
209.124.130.101,1590914429.890
47.93.97.78,1590914642.440
163.172.222.30,1590914733.888
118.24.175.14,1590914946.344
209.124.130.101,1590915284.795
88.90.193.26,1590915789.087
163.172.222.30,1590916572.004
74.213.232.247,1590917179.784
134.122.96.128,1590917642.338
192.241.131.177,1590917690.927
39.107.245.90,1590917852.667
3.15.223.4,1590919634.174
39.107.245.90,1590920269.564
54.149.118.3,1590920880.603
159.69.57.170,1590921026.085
188.72.203.154,1590922404.930
188.72.203.159,1590923094.082
188.72.203.154,1590923393.942
104.248.161.166,1590923573.789
188.72.203.154,1590924653.895
45.15.9.99,1590925754.011
3.19.66.87,1590926607.265
178.63.71.183,1590926776.016
188.72.203.154,1590926818.938
13.244.102.241,1590926963.690
188.72.203.154,1590927607.711
163.172.222.30,1590928040.013
66.70.180.144,1590928471.303
61.160.196.169,1590928606.784
39.107.245.90,1590928796.154
204.228.147.42,1590929783.400
192.241.131.177,1590929783.872
173.249.28.21,1590930250.004
118.24.175.14,1590930422.231
46.4.65.10,1590930511.044
213.133.102.169,1590930889.779
45.15.9.99,1590931517.028
