block_hash,Height,Hash,First_Time,Prop_Time,Obs_Witness_Count,Peers_Report_Count,Sorted_Timestamps
451,852446.0,,1591085750.2429998,7.569000244140625,4,34,
452,852447.0,,1591085817.22,3.190999984741211,4,34,
453,852448.0,,1591085844.4589999,0.8520002365112305,4,34,
454,852449.0,,1591086106.425,7.608999967575073,4,34,
455,852450.0,,1591086171.3660002,8.585999965667725,4,34,
456,852451.0,,1591086195.21,1.4739999771118164,4,34,
457,852452.0,,1591086258.1629999,63.12000012397766,4,34,
458,852453.0,,1591086259.8479998,61.658000230789185,4,34,
459,852454.0,,1591086396.496,1.8889999389648438,4,34,
460,852455.0,,1591086518.8,3.1570000648498535,4,34,
461,852456.0,,1591086563.33,2.190000057220459,4,34,
462,852457.0,,1591086593.967,1.0720000267028809,4,34,
463,852458.0,,1591086602.8479998,3.138000249862671,4,34,
464,852459.0,,1591086629.566,2.1110000610351562,4,34,
465,852460.0,,1591086675.515,0.7260000705718994,4,34,
466,852461.0,,1591086765.776,0.7519998550415039,4,34,
467,852462.0,,1591086820.9220002,0.6629998683929443,4,34,
468,852463.0,,1591086887.429,2.509000062942505,4,34,
469,852464.0,,1591087010.119,2.0399999618530273,4,34,
470,852465.0,,1591087066.768,10.38100004196167,4,34,
