block_hash,mumbai_min,mumbai_max,mumbai_prop_time,virginia_min,virginia_max,virginia_prop_time,london_min,london_max,london_prop_time,africa_min,africa_max,africa_prop_time,Height,global_min,global_max,global_prop_time
00000000003aeb04e1c48ffe8912f61da3c23c70888fe2bf7102f3b2900b33cc,1591091950.794,1591091955.815,5.021000146865845,1591091950.764,1591150202.111,58251.34700012207,1591091950.708,1591150202.076,58251.36800003052,1591091950.8179998,1591091955.851,5.033000230789185,852521.0,1591091950.708,1591150202.111,58251.40300011635
00000000014ba37b561d1d5c045c36fe506d36841b5cb2d1364ccbfab0c1598c,1591091958.1239998,1591091962.613,4.489000082015991,1591091958.034,1591150202.111,58244.077000141144,1591091958.073,1591150202.076,58244.00300002098,1591091958.159,1591091962.65,4.491000175476074,852522.0,1591091958.034,1591150202.111,58244.077000141144
00000000001d9e9a4b2f18a5f646d02ffa38ef6100d3b936df9f9444a336e12b,1591091977.54,1591091982.024,4.483999967575073,1591091977.408,1591150202.111,58224.703000068665,1591091977.454,1591150202.076,58224.62199997902,1591091977.582,1591091982.06,4.477999925613403,852523.0,1591091977.408,1591150202.111,58224.703000068665
000000000241659d60baef6bb88cac0c051e874e48918ea74e3fc2d4e6cc6f63,1591092188.2810001,1591092197.4160001,9.134999990463257,1591092188.101,1591150202.111,58014.00999999046,1591092188.1379998,1591150202.076,58013.93800020218,1591092188.2270002,1591092197.4529998,9.225999593734741,852524.0,1591092188.101,1591150202.111,58014.00999999046
0000000000e0d230675c25b6c4c106e87a58313abe186e68274054b53e96b076,1591092271.776,1591092277.3370001,5.561000108718872,1591092271.742,1591150202.111,57930.36899995804,1591092271.8170002,1591150202.076,57930.258999824524,1591092271.8920002,1591092285.29,13.39799976348877,852525.0,1591092271.742,1591150202.111,57930.36899995804
000000000078a65ecc31fe39dd020e69c44f4fc5bc979dd65918569f1076e3fd,1591092303.651,1591092323.43,19.77900004386902,1591092303.6220002,1591150202.111,57898.4889998436,1591092303.645,1591150202.076,57898.43099999428,1591092303.677,1591092320.016,16.33899998664856,852526.0,1591092303.6220002,1591150202.111,57898.4889998436
00000000014e850aa2acac97bb7135b77f33839828416495ce43f69ff7d870b8,1591092331.861,1591092345.357,13.496000051498413,1591092331.8270001,1591150202.111,57870.28399991989,1591092331.914,1591150202.076,57870.16199994087,1591092331.9889998,1591092345.393,13.404000043869019,852527.0,1591092331.8270001,1591150202.111,57870.28399991989
000000000195e13bd692f0a393d6a965add621f29be0df70d76e7df9e9916e67,1591092407.9220002,1591092419.88,11.95799994468689,1591092407.881,1591150202.111,57794.23000001907,1591092407.8839998,1591150202.076,57794.19200015068,1591092407.946,1591092426.1120002,18.16600012779236,852528.0,1591092407.881,1591150202.111,57794.23000001907
0000000001353989b766803acdb308ea4c7b0ea9b8967bf4f9585f3f157c02a0,1591092539.064,1591092555.971,16.907000064849854,1591092539.039,1591150202.24,57663.200999975204,1591092539.0470002,1591150202.204,57663.15699982643,1591092539.121,1591092555.9910002,16.87000012397766,852529.0,1591092539.039,1591150202.24,57663.200999975204
0000000001664333d738120151fba8ff37bb2b70889d9abe9887a55571eaa748,1591092582.681,1591092791.245,208.56399989128113,1591092582.72,1591150202.24,57619.51999998093,1591092582.695,1591150202.204,57619.50900006294,1591092582.7710001,1591092593.871,11.099999904632568,852530.0,1591092582.681,1591150202.24,57619.55900001526
00000000010d145578cbacae207d8de0ff43a17f6c6f889b138cd852007e7cfe,1591092589.6520002,1591092791.245,201.59299969673157,1591092589.6260002,1591150202.24,57612.6139998436,1591092589.65,1591150202.204,57612.55399990082,1591092589.6820002,1591092737.2220001,147.53999996185303,852531.0,1591092589.6260002,1591150202.24,57612.6139998436
0000000000075518ec2c94512fce18bced6d48ef4546faac49ae268e24671ded,1591092617.093,1591092791.246,174.15300011634827,1591092617.133,1591150202.24,57585.10700011253,1591092617.055,1591150202.204,57585.14899992943,1591092617.165,1591092977.98,360.81500005722046,852532.0,1591092617.055,1591150202.24,57585.18499994278
0000000000a93ade5d297675aaeeb1847fe46ddd9a678c4e49b755ee179707cc,1591092651.706,1591092791.2470002,139.54100012779236,1591092651.617,1591150202.24,57550.62299990654,1591092651.655,1591150202.204,57550.549000024796,1591092651.7370002,1591092977.98,326.242999792099,852533.0,1591092651.617,1591150202.24,57550.62299990654
0000000000339d46b7e9a5cc3e8ed6d7e263285f198bc29b8ea1ce3f6a4c9ec8,1591092747.26,1591092791.486,44.2260000705719,1591092747.3470001,1591150202.24,57454.89299988747,1591092747.3820002,1591150202.204,57454.821999788284,1591092747.465,1591092977.98,230.51500010490417,852534.0,1591092747.26,1591150202.24,57454.98000001907
00000000009a6180ba4ceed80db66f7bfd511aa97ab6d148f94de09d85814005,1591092839.7020001,1591092844.3439999,4.6419997215271,1591092839.7020001,1591150202.24,57362.53799986839,1591092839.6529999,1591150202.204,57362.551000118256,1591092839.7329998,1591092977.982,138.24900031089783,852535.0,1591092839.6529999,1591150202.24,57362.58700013161
0000000001c3b7de6e5b80d44b3fb6bc6faa12e93c2c5a3d01c565d171998e87,1591092904.7810001,1591092991.572,86.79099988937378,1591092904.744,1591150202.24,57297.4960000515,1591092904.7329998,1591150202.204,57297.47100019455,1591092904.843,1591092991.601,86.75800013542175,852536.0,1591092904.7329998,1591150202.24,57297.5070002079
00000000011a66dbbaa5ad8048c9c3cba5eddf9b151994bbdc3ab75c6f2d6467,1591093003.265,1591093008.3779998,5.112999677658081,1591093003.174,1591150202.3760002,57199.202000141144,1591093003.2120001,1591150202.34,57199.12799978256,1591093003.293,1591093008.826,5.5329999923706055,852537.0,1591093003.174,1591150202.3760002,57199.202000141144
000000000137bfbc8f8ce7214330caf00d19cf6d35d89df2c6a852936745eb6a,1591093067.7,1591093072.639,4.938999891281128,1591093067.665,1591150202.3760002,57134.711000204086,1591093067.65,1591150202.34,57134.6899998188,1591093067.755,1591093071.55,3.794999837875366,852538.0,1591093067.65,1591150202.3760002,57134.72600007057
000000000216eb8a0c0749de94ed6e64d7742e7fbdcdecbdaa31a30f58b69814,1591093104.573,1591093114.951,10.378000020980835,1591093104.4829998,1591150202.3760002,57097.8930003643,1591093104.5210001,1591150202.34,57097.8189997673,1591093104.607,1591093114.988,10.38099980354309,852539.0,1591093104.4829998,1591150202.3760002,57097.8930003643
