Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
199.217.115.27,170010,/MagicBean:2.1.2-3/,851372,5,1591005880,1591005880.163
46.4.192.189,170011,/MagicBean:3.0.0/,851408,5,1591008073,1591008073.063
47.93.97.78,170011,/MagicBean:3.0.0/,345405,5,1591008233,1591008233.808
167.172.43.123,170009,/MagicBean:2.1.0-1/,10703,5,1591009310,1591009310.697
47.93.97.78,170011,/MagicBean:3.0.0/,345100,5,1591012175,1591012175.521
46.246.35.198,170011,/MagicBean:3.0.0/,851497,5,1591013953,1591013953.331
3.15.217.235,170011,/MagicBean:3.0.0/,851497,5,1591013985,1591013985.822
107.191.35.66,170011,/MagicBean:3.0.0/,851528,5,1591017065,1591017065.380
51.68.5.144,170010,/zqwMagicBean:2.1.2/,851562,5,1591019768,1591019814.827
47.93.194.27,170011,/MagicBean:3.0.0/,380422,5,1591023082,1591023082.877
47.93.97.78,170011,/MagicBean:3.0.0/,442408,5,1591024895,1591024895.456
47.93.97.78,170011,/MagicBean:3.0.0/,444816,5,1591028245,1591028246.022
188.165.43.210,170010,/MagicBean:2.1.2-3/,851695,5,1591030042,1591030043.025
47.254.176.240,170011,/MagicBean:3.0.0/,851739,5,1591033079,1591033079.393
78.27.139.13,170011,/MagicBean:3.0.0/,851750,5,1591033617,1591033617.850
51.79.57.29,170011,/MagicBean:3.0.0/,851754,5,1591033962,1591033962.675
74.213.232.247,170011,/MagicBean:3.0.0/,851767,5,1591035129,1591035131.677
47.93.97.78,170011,/MagicBean:3.0.0/,444817,5,1591039390,1591039390.459
217.71.218.198,170011,/MagicBean:3.0.0/,851840,5,1591040353,1591040353.294
47.93.97.78,170011,/MagicBean:3.0.0/,497225,5,1591044926,1591044927.105
185.202.0.37,170011,/zqwMagicBean:3.0.0/,851954,5,1591049454,1591049453.126
47.93.97.78,170011,/MagicBean:3.0.0/,531933,5,1591050288,1591050288.312
47.93.198.249,170011,/MagicBean:3.0.0/,851972,5,1591050693,1591050693.877
212.158.160.111,170011,/MagicBean:3.0.0/,851976,5,1591051091,1591051092.051
51.68.5.144,170010,/zqwMagicBean:2.1.2/,852142,5,1591063788,1591063835.584
47.93.198.249,170011,/MagicBean:3.0.0/,852163,5,1591065296,1591065296.704
162.14.4.106,170011,/MagicBean:3.0.0/,852218,5,1591069104,1591069105.044
47.254.130.139,170010,/MagicBean:2.1.2/,852220,5,1591069398,1591069398.303
188.165.43.210,170010,/MagicBean:2.1.2-3/,852265,5,1591072989,1591072989.691
188.165.43.210,170010,/MagicBean:2.1.2-3/,852273,5,1591073609,1591073609.372
188.165.43.210,170010,/MagicBean:2.1.2-3/,852288,5,1591074232,1591074232.980
